filename,validity,upper_bound,solution_length,solution,iterations,elapsed
./test/fixtures/kun01.txt,valid,15,11,(2:2);(0:3);(1:1);(2:3);(0:4);(2:3);(4:4);(3:2);(4:0);(2:1);(0:0);,20121,0.0384175
./test/fixtures/kun02.txt,valid,12,12,(4:4);(2:3);(3:1);(2:3);(1:1);(3:2);(4:0);(2:1);(3:3);(4:1);(2:2);(0:1);,32569,0.0197032
./test/fixtures/kun03.txt,valid,13,11,(3:3);(1:2);(0:0);(2:1);(0:2);(1:4);(0:6);(2:5);(4:4);(5:2);(6:0);,1289684,0.457642
./test/fixtures/kun04.txt,valid,14,11,(3:3);(1:4);(0:6);(2:5);(3:3);(5:4);(6:6);(4:5);(5:3);(4:1);(6:0);,29275,0.0337872
./test/fixtures/kun05.txt,valid,14,11,(3:3);(1:4);(0:6);(2:5);(3:3);(5:2);(6:0);(4:1);(5:3);(4:5);(6:6);,14123,0.02418
./test/fixtures/kun06.txt,valid,14,13,(4:4);(2:3);(3:1);(1:2);(3:3);(4:1);(2:2);(0:3);(1:1);(3:2);(1:3);(2:1);(4:0);,8674,0.0114842
./test/fixtures/kun07.txt,valid,12,12,(4:4);(2:3);(3:1);(2:3);(1:1);(3:2);(4:0);(2:1);(3:3);(4:1);(2:2);(0:1);,32132,0.0159973
./test/fixtures/kun08.txt,valid,16,11,(3:3);(5:2);(6:0);(5:2);(3:3);(1:4);(0:6);(2:5);(3:3);(2:1);(0:0);,515529,0.148671
./test/fixtures/kun09.txt,valid,13,13,(6:6);(5:4);(4:2);(6:1);(4:2);(6:3);(4:4);(2:3);(1:1);(0:3);(2:2);(4:1);(6:0);,260859,0.0627902
./test/fixtures/kun10.txt,valid,16,15,(6:6);(5:4);(3:5);(1:6);(3:5);(2:3);(1:5);(2:3);(1:1);(3:2);(5:3);(6:5);(4:4);(5:2);(6:0);,3250839,0.764509
./test/fixtures/kun11.txt,valid,18,18,(6:6);(5:4);(6:2);(5:0);(6:2);(4:3);(5:5);(3:6);(1:5);(3:4);(1:3);(3:2);(5:1);(3:2);(1:1);(2:3);(3:5);(1:4);,96084576,23.872
./test/fixtures/kun12.txt,valid,18,16,(6:6);(5:4);(6:2);(5:0);(6:2);(4:3);(5:5);(3:6);(1:5);(2:3);(1:1);(3:2);(5:1);(4:3);(3:5);(1:4);,22075946,5.74837
